Current,dCurrent,B,dB,Voltage,CurrentSmallSig,dCurrentSmallSig,AirGap
256.0,-6.0,575.0,-4.0,6100.0,-3.0,1.0,650.0
261.0,5.0,579.0,4.0,6400.0,-7.0,-4.0,650.0
266.0,5.0,583.0,4.0,6200.0,-3.0,4.0,651.0
265.0,-1.0,586.0,3.0,5800.0,-5.0,-2.0,651.0
268.0,3.0,584.0,-2.0,5900.0,1.0,6.0,651.0
262.0,-6.0,582.0,-2.0,5700.0,-2.0,-3.0,650.0
260.0,-2.0,578.0,-4.0,6100.0,-4.0,-2.0,650.0
257.0,-3.0,576.0,-2.0,6200.0,-8.0,-4.0,650.0
265.0,8.0,580.0,4.0,6400.0,-5.0,3.0,650.0
268.0,3.0,585.0,5.0,6000.0,0.0,5.0,651.0
271.0,3.0,585.0,0.0,5700.0,1.0,1.0,651.0
262.0,-9.0,584.0,-1.0,5600.0,0.0,-1.0,651.0
262.0,0.0,581.0,-3.0,6000.0,-3.0,-3.0,651.0
258.0,-4.0,576.0,-5.0,6000.0,-4.0,-1.0,650.0
258.0,0.0,578.0,2.0,6300.0,-9.0,-5.0,650.0
264.0,6.0,582.0,4.0,6300.0,-3.0,6.0,650.0
272.0,8.0,585.0,3.0,6000.0,-8.0,-5.0,651.0
269.0,-3.0,586.0,1.0,5500.0,3.0,11.0,651.0
263.0,-6.0,583.0,-3.0,5700.0,-1.0,-4.0,651.0
262.0,-1.0,579.0,-4.0,6000.0,-4.0,-3.0,651.0
258.0,-4.0,575.0,-4.0,6000.0,-5.0,-1.0,650.0
260.0,2.0,579.0,4.0,6400.0,-7.0,-2.0,650.0
266.0,6.0,583.0,4.0,6200.0,-2.0,5.0,650.0
267.0,1.0,586.0,3.0,5900.0,-2.0,0.0,651.0
265.0,-2.0,585.0,-1.0,5800.0,1.0,3.0,651.0
263.0,-2.0,583.0,-2.0,5900.0,-2.0,-3.0,651.0
258.0,-5.0,578.0,-5.0,6000.0,-4.0,-2.0,649.0
261.0,3.0,577.0,-1.0,6500.0,-8.0,-4.0,650.0
263.0,2.0,581.0,4.0,6200.0,-6.0,2.0,651.0
268.0,5.0,585.0,4.0,6000.0,-6.0,0.0,651.0
266.0,-2.0,586.0,1.0,5700.0,1.0,7.0,651.0
266.0,0.0,584.0,-2.0,5800.0,0.0,-1.0,651.0
263.0,-3.0,582.0,-2.0,5800.0,-4.0,-4.0,651.0
259.0,-4.0,576.0,-6.0,6000.0,-3.0,1.0,650.0
260.0,1.0,578.0,2.0,6300.0,-9.0,-6.0,650.0
267.0,7.0,582.0,4.0,6200.0,1.0,10.0,650.0
267.0,0.0,586.0,4.0,5900.0,-8.0,-9.0,651.0
267.0,0.0,586.0,0.0,5800.0,2.0,10.0,651.0
266.0,-1.0,584.0,-2.0,5800.0,-1.0,-3.0,651.0
261.0,-5.0,580.0,-4.0,5800.0,-5.0,-4.0,650.0
260.0,-1.0,576.0,-4.0,6200.0,-3.0,2.0,650.0
265.0,5.0,579.0,3.0,6200.0,-7.0,-4.0,650.0
265.0,0.0,583.0,4.0,6000.0,-1.0,6.0,651.0
267.0,2.0,586.0,3.0,5900.0,-2.0,-1.0,651.0
268.0,1.0,584.0,-2.0,5800.0,1.0,3.0,651.0
266.0,-2.0,582.0,-2.0,5700.0,-3.0,-4.0,651.0
259.0,-7.0,577.0,-5.0,5800.0,-4.0,-1.0,650.0
262.0,3.0,576.0,-1.0,6300.0,-8.0,-4.0,650.0
260.0,-2.0,579.0,3.0,6100.0,-6.0,2.0,651.0
269.0,9.0,584.0,5.0,6100.0,-7.0,-1.0,651.0
267.0,-2.0,585.0,1.0,5700.0,1.0,8.0,651.0
263.0,-4.0,583.0,-2.0,5800.0,0.0,-1.0,651.0
264.0,1.0,580.0,-3.0,6000.0,-4.0,-4.0,651.0
260.0,-4.0,576.0,-4.0,5900.0,-2.0,2.0,650.0
260.0,0.0,576.0,0.0,6300.0,-9.0,-7.0,650.0
264.0,4.0,581.0,5.0,6300.0,-2.0,7.0,650.0
270.0,6.0,585.0,4.0,6000.0,-10.0,-8.0,651.0
268.0,-2.0,584.0,-1.0,5600.0,2.0,12.0,651.0
264.0,-4.0,582.0,-2.0,5700.0,-1.0,-3.0,651.0
261.0,-3.0,579.0,-3.0,5900.0,-4.0,-3.0,651.0
256.0,-5.0,575.0,-4.0,6100.0,-5.0,-1.0,651.0
261.0,5.0,577.0,2.0,6300.0,-7.0,-2.0,650.0
267.0,6.0,583.0,6.0,6200.0,0.0,7.0,650.0
266.0,-1.0,584.0,1.0,5900.0,-2.0,-2.0,651.0
267.0,1.0,584.0,0.0,5800.0,1.0,3.0,651.0
262.0,-5.0,581.0,-3.0,5800.0,-2.0,-3.0,651.0
256.0,-6.0,577.0,-4.0,6000.0,-4.0,-2.0,650.0
261.0,5.0,576.0,-1.0,6500.0,-7.0,-3.0,650.0
262.0,1.0,579.0,3.0,6200.0,-5.0,2.0,650.0
268.0,6.0,585.0,6.0,6100.0,-4.0,1.0,651.0
266.0,-2.0,585.0,0.0,5700.0,2.0,6.0,651.0
266.0,0.0,584.0,-1.0,5800.0,0.0,-2.0,651.0
263.0,-3.0,581.0,-3.0,5800.0,-4.0,-4.0,651.0
260.0,-3.0,576.0,-5.0,6000.0,-3.0,1.0,651.0
260.0,0.0,577.0,1.0,6100.0,-9.0,-6.0,651.0
263.0,3.0,581.0,4.0,6100.0,-4.0,5.0,651.0
269.0,6.0,585.0,4.0,6000.0,-10.0,-6.0,651.0
268.0,-1.0,584.0,-1.0,5700.0,3.0,13.0,651.0
263.0,-5.0,582.0,-2.0,5700.0,-1.0,-4.0,651.0
259.0,-4.0,579.0,-3.0,6000.0,-4.0,-3.0,651.0
255.0,-4.0,575.0,-4.0,6200.0,-1.0,3.0,651.0
261.0,6.0,578.0,3.0,6400.0,-7.0,-6.0,650.0
263.0,2.0,584.0,6.0,6200.0,3.0,10.0,651.0
269.0,6.0,585.0,1.0,6000.0,1.0,-2.0,651.0
264.0,-5.0,584.0,-1.0,5700.0,1.0,0.0,651.0
262.0,-2.0,582.0,-2.0,5900.0,-2.0,-3.0,651.0
261.0,-1.0,577.0,-5.0,6000.0,-4.0,-2.0,650.0
260.0,-1.0,576.0,-1.0,6200.0,-8.0,-4.0,650.0
262.0,2.0,580.0,4.0,6300.0,-4.0,4.0,650.0
266.0,4.0,586.0,6.0,6200.0,-11.0,-7.0,651.0
270.0,4.0,585.0,-1.0,5800.0,3.0,14.0,651.0
265.0,-5.0,584.0,-1.0,5600.0,0.0,-3.0,651.0
265.0,0.0,581.0,-3.0,5900.0,-3.0,-3.0,651.0
259.0,-6.0,576.0,-5.0,5900.0,-2.0,1.0,650.0
258.0,-1.0,577.0,1.0,6300.0,-9.0,-7.0,650.0
262.0,4.0,583.0,6.0,6400.0,-2.0,7.0,651.0
271.0,9.0,586.0,3.0,6000.0,-1.0,1.0,651.0
269.0,-2.0,585.0,-1.0,5600.0,3.0,4.0,651.0
266.0,-3.0,583.0,-2.0,5700.0,-1.0,-4.0,651.0
263.0,-3.0,579.0,-4.0,5800.0,-4.0,-3.0,651.0
255.0,-8.0,576.0,-3.0,6000.0,-1.0,3.0,650.0
264.0,9.0,579.0,3.0,6500.0,-6.0,-5.0,650.0
268.0,4.0,583.0,4.0,6100.0,-1.0,5.0,651.0
268.0,0.0,585.0,2.0,5700.0,-7.0,-6.0,651.0
267.0,-1.0,584.0,-1.0,5700.0,2.0,9.0,651.0
264.0,-3.0,582.0,-2.0,5800.0,-3.0,-5.0,651.0
262.0,-2.0,578.0,-4.0,5900.0,-4.0,-1.0,649.0
261.0,-1.0,576.0,-2.0,6300.0,-8.0,-4.0,650.0
263.0,2.0,580.0,4.0,6200.0,-6.0,2.0,650.0
268.0,5.0,585.0,5.0,6100.0,-5.0,1.0,651.0
